config_id,direction,gain_usd,outcome_win_rate,pnl_win_rate,count
momentum_day_21,LONG,-339.37639087945155,30.434782608695656,30.434782608695656,23
momentum_day_21,SHORT,-459.184107687682,24.0,24.0,25
momentum_day_22,LONG,-51.86296946887126,33.33333333333333,33.33333333333333,3
momentum_day_22,SHORT,-322.91436693499384,12.5,12.5,8
scalping_pro_1,LONG,-482.4243913484498,15.789473684210526,15.789473684210526,19
scalping_pro_1,SHORT,-586.8889448770191,29.03225806451613,30.64516129032258,62
scalping_pro_2,LONG,-670.9732623025301,0.0,0.0,14
scalping_pro_2,SHORT,-303.92892958302895,16.666666666666664,16.666666666666664,18
scalping_pro_3,LONG,-281.5787775441405,32.35294117647059,32.35294117647059,34
scalping_pro_3,SHORT,-442.7669870214455,41.269841269841265,41.269841269841265,63
scalping_pro_4,LONG,-699.3282921302784,3.8461538461538463,3.8461538461538463,26
scalping_pro_4,SHORT,-155.51297065541394,50.588235294117645,50.588235294117645,85
scalping_pro_5,LONG,-741.2674882172419,27.027027027027028,27.027027027027028,37
scalping_pro_5,SHORT,-101.25858195131539,48.148148148148145,48.148148148148145,81
swing_trader_11,LONG,-750.8474625524365,31.746031746031743,31.746031746031743,63
swing_trader_11,SHORT,-162.7550603510511,34.54545454545455,34.54545454545455,55
swing_trader_12,LONG,-1499.7606003352878,15.151515151515152,15.151515151515152,66
swing_trader_12,SHORT,745.1169312229679,50.70422535211267,50.70422535211267,71
swing_trader_13,LONG,-1883.5761737334667,12.307692307692308,12.307692307692308,65
swing_trader_13,SHORT,1506.0385027970317,61.29032258064516,61.29032258064516,62
